InstitutionId,InstitutionName,TaxonomyLevel,TaxonomyValue,NonAttritionEvents,AttritionEvents,ProductionRank,PrestigeRank,OrdinalPrestigeRank
9.0,Andrews,Field,Curriculum and Instruction,4.0,1.0,133,0.122116805770761,100
9.0,Andrews,Field,Education Administration,6.0,3.0,128,0.4142337602133041,76
9.0,Andrews,Field,Educational Psychology,6.0,2.0,85,0.6619444376748749,17
9.0,Andrews,Field,Theological Studies,34.0,7.0,16,0.0549244402447721,37
9.0,Andrews,Domain,Education,11.0,4.0,163,0.2403176891242399,176
9.0,Andrews,Domain,Humanities,35.0,7.0,123,0.1647266694581163,229
9.0,Andrews,Domain,Social Sciences,6.0,2.0,223,0.1973654468217319,242
10.0,Antioch (New England),Academia,Academia,6.0,5.0,364,0.2183691403331416,313
10.0,Antioch (New England),Domain,Social Sciences,2.0,2.0,268,0.1502097588647174,258
12.0,Arizona State,Academia,Academia,1479.0,429.0,41,0.5202073954657009,105
12.0,Arizona State,Field,Accounting,46.0,14.0,10,0.7217489863927555,21
12.0,Arizona State,Field,Agricultural Engineering,17.0,6.0,41,0.3504120193252575,55
12.0,Arizona State,Field,Anthropology,46.0,16.0,22,0.5416908310154338,64
12.0,Arizona State,Field,Architecture,8.0,1.0,27,0.5596077289869337,23
12.0,Arizona State,Field,Art History and Criticism,6.0,2.0,46,0.3811676865162925,69
12.0,Arizona State,Field,Astronomy,14.0,3.0,39,0.328524794101134,51
12.0,Arizona State,Field,Biochemistry,14.0,4.0,74,0.3613576530168378,111
12.0,Arizona State,Field,Biological Sciences,55.0,19.0,36,0.430615355425591,92
12.0,Arizona State,Field,Biomedical Engineering,23.0,9.0,28,0.5659061060858482,29
12.0,Arizona State,Field,Chemical Engineering,10.0,2.0,55,0.467508121211966,64
12.0,Arizona State,Field,Chemistry,19.0,9.0,63,0.3636378446962813,114
12.0,Arizona State,Field,Civil Engineering,39.0,9.0,27,0.4956455759661824,51
12.0,Arizona State,Field,Computer Engineering,48.0,6.0,28,0.5855580913424757,43
12.0,Arizona State,Field,Computer Science,44.0,11.0,40,0.4674324989332459,65
12.0,Arizona State,Field,Criminal Justice and Criminology,35.0,12.0,5,0.5561772695552077,16
12.0,Arizona State,Field,Curriculum and Instruction,50.0,17.0,12,0.8134254819574741,5
12.0,Arizona State,Field,Economics,19.0,3.0,60,0.4286871248769605,87
12.0,Arizona State,Field,Education,17.0,4.0,22,0.6057914335376388,26
12.0,Arizona State,Field,Education Administration,36.0,16.0,15,0.6399698871898509,36
12.0,Arizona State,Field,Electrical Engineering,49.0,10.0,29,0.4511487561846303,61
12.0,Arizona State,Field,English Language and Literature,25.0,9.0,76,0.3522304217914802,104
12.0,Arizona State,Field,Evolutionary Biology,8.0,5.0,34,0.1520175766349947,24
12.0,Arizona State,Field,Finance,24.0,8.0,36,0.6001010912597757,27
12.0,Arizona State,Field,Gender Studies,6.0,2.0,30,0.2173194303430311,38
12.0,Arizona State,Field,Geography,40.0,13.0,11,0.604663416087351,22
12.0,Arizona State,Field,Geology,47.0,13.0,21,0.5233436201877378,48
12.0,Arizona State,Field,"Health, Physical Education, Recreation",11.0,3.0,37,0.5089812009713273,20
12.0,Arizona State,Field,History,16.0,2.0,69,0.470758898918525,83
12.0,Arizona State,Field,Human Development and Family Sciences,14.0,2.0,44,0.518492968188316,24
12.0,Arizona State,Field,Industrial Engineering,17.0,6.0,21,0.6489562715333599,15
12.0,Arizona State,Field,Information Technology,17.0,8.0,17,0.5533864770977739,26
12.0,Arizona State,Field,International Affairs,4.0,1.0,71,0.447759094297361,25
12.0,Arizona State,Field,Management,81.0,27.0,17,0.6180085832510009,29
12.0,Arizona State,Field,Management Information Systems,20.0,7.0,28,0.6166494933199772,22
12.0,Arizona State,Field,Marketing,46.0,15.0,6,0.7057681256607403,24
12.0,Arizona State,Field,Materials Engineering,15.0,4.0,40,0.4749268168363226,47
12.0,Arizona State,Field,Mathematics,38.0,12.0,44,0.3227085431961471,119
12.0,Arizona State,Field,Mechanical Engineering,28.0,11.0,44,0.5880993217667375,30
12.0,Arizona State,Field,Microbiology,7.0,5.0,114,0.0342578354714059,112
12.0,Arizona State,Field,Molecular Biology,13.0,5.0,62,0.2396986045758975,70
12.0,Arizona State,Field,Music,67.0,19.0,18,0.5687428439210789,43
12.0,Arizona State,Field,Natural Resources,8.0,2.0,56,0.4398070361310629,22
12.0,Arizona State,Field,Nursing,16.0,9.0,105,0.6357041725596196,85
12.0,Arizona State,Field,Nutrition Sciences,8.0,2.0,51,0.3421594126305889,55
12.0,Arizona State,Field,Operations Research,11.0,5.0,30,0.5384023787270996,23
12.0,Arizona State,Field,Physics,20.0,4.0,50,0.4939264422958823,73
12.0,Arizona State,Field,Political Science,21.0,6.0,57,0.4582823864653121,82
12.0,Arizona State,Field,Psychology,91.0,26.0,21,0.636151330360112,50
12.0,Arizona State,Field,Social Work,38.0,8.0,24,0.6114192491933895,34
12.0,Arizona State,Field,Sociology,33.0,10.0,33,0.4269554408254964,84
12.0,Arizona State,Field,Speech and Hearing Sciences,10.0,2.0,22,0.58070740555359,21
12.0,Arizona State,Field,Statistics,19.0,6.0,39,0.3865344862282745,60
12.0,Arizona State,Field,Systems Engineering,16.0,7.0,18,0.5068395205198292,21
12.0,Arizona State,Field,"Theatre Literature, History and Criticism",15.0,8.0,14,0.6031489329014152,28
12.0,Arizona State,Field,Urban and Regional Planning,13.0,5.0,22,0.4806285329944686,28
12.0,Arizona State,Domain,Applied Sciences,240.0,75.0,29,0.4861588892382512,58
12.0,Arizona State,Domain,Education,132.0,46.0,20,0.6815278610054445,33
12.0,Arizona State,Domain,Engineering,192.0,55.0,31,0.5160684329590389,78
12.0,Arizona State,Domain,Humanities,167.0,47.0,51,0.4488986132873492,95
12.0,Arizona State,Domain,Mathematics and Computing,129.0,31.0,46,0.4067508167248404,98
12.0,Arizona State,Domain,Medicine and Health,164.0,38.0,75,0.5539557784629049,84
12.0,Arizona State,Domain,Natural Sciences,230.0,68.0,66,0.4669854340608862,120
12.0,Arizona State,Domain,Social Sciences,326.0,99.0,29,0.5308680233944596,82
13.0,Arkansas State,Academia,Academia,9.0,5.0,339,0.214285861986951,319
13.0,Arkansas State,Field,History,1.0,1.0,160,0.1197803174691697,199
13.0,Arkansas State,Domain,Humanities,1.0,1.0,265,0.1182284052376486,241
372.0,Asbury Theological Seminary,Academia,Academia,8.0,3.0,356,0.1828069635789812,334
372.0,Asbury Theological Seminary,Field,Theological Studies,4.0,2.0,61,0.1499519141645544,35
372.0,Asbury Theological Seminary,Domain,Humanities,6.0,3.0,195,0.1573438497194312,232
15.0,Auburn,Academia,Academia,600.0,201.0,92,0.3484689083118305,219
15.0,Auburn,Field,Accounting,2.0,1.0,112,0.1872715185465688,110
15.0,Auburn,Field,Aerospace Engineering,8.0,1.0,61,0.2343279325328808,41
15.0,Auburn,Field,Agricultural Economics,4.0,1.0,37,0.2131819098272127,30
15.0,Auburn,Field,Agricultural Engineering,11.0,2.0,53,0.4009260017677203,45
15.0,Auburn,Field,Agronomy,13.0,6.0,21,0.4358717925411983,16
15.0,Auburn,Field,Animal Sciences,22.0,6.0,25,0.3797483571764581,36
15.0,Auburn,Field,Art History and Criticism,1.0,1.0,89,0.2575462817011609,95
15.0,Auburn,Field,Biochemistry,6.0,3.0,134,0.257141006530564,137
15.0,Auburn,Field,Biological Sciences,15.0,6.0,103,0.4280233675966726,93
15.0,Auburn,Field,Chemical Engineering,10.0,1.0,63,0.4484772402547049,69
15.0,Auburn,Field,Chemistry,4.0,2.0,136,0.238340354292471,167
15.0,Auburn,Field,Civil Engineering,19.0,3.0,53,0.3673077607549075,78
15.0,Auburn,Field,Computer Engineering,22.0,7.0,72,0.4060216590692379,83
15.0,Auburn,Field,Computer Science,18.0,9.0,79,0.3627764552680175,105
15.0,Auburn,Field,Counselor Education,17.0,5.0,22,0.5193370759347733,26
15.0,Auburn,Field,Curriculum and Instruction,13.0,5.0,73,0.3963005427566657,63
15.0,Auburn,Field,Economics,4.0,1.0,103,0.283696361281874,142
15.0,Auburn,Field,Education Administration,9.0,3.0,77,0.347767226358029,93
15.0,Auburn,Field,Electrical Engineering,22.0,7.0,75,0.3845579843274033,82
15.0,Auburn,Field,English Language and Literature,2.0,2.0,157,0.1439248307401185,173
15.0,Auburn,Field,Entomology,9.0,4.0,31,0.2488011645351415,27
15.0,Auburn,Field,Environmental Sciences,13.0,8.0,61,0.548684902862181,33
15.0,Auburn,Field,"Exercise Science, Kinesiology, Rehab, Health",25.0,6.0,46,0.6244635543072073,42
15.0,Auburn,Field,Finance,3.0,2.0,99,0.3307877854046786,86
15.0,Auburn,Field,Forestry and Forest Resources,20.0,8.0,21,0.4345943894015343,20
15.0,Auburn,Field,History,6.0,1.0,101,0.3301411997885792,136
15.0,Auburn,Field,Horticulture,12.0,5.0,21,0.1647149138731135,16
15.0,Auburn,Field,Human Development and Family Sciences,30.0,5.0,17,0.5050271193349861,26
15.0,Auburn,Field,Industrial Engineering,10.0,4.0,39,0.396140060708225,41
15.0,Auburn,Field,Management,15.0,4.0,77,0.4256195950229779,71
15.0,Auburn,Field,Mathematics,15.0,3.0,85,0.2712149091065997,140
15.0,Auburn,Field,Mechanical Engineering,14.0,4.0,76,0.3041784735430943,111
15.0,Auburn,Field,Music,2.0,1.0,95,0.2390673276672412,130
15.0,Auburn,Field,Pharmacy,34.0,8.0,11,0.4020937989188609,35
15.0,Auburn,Field,Physics,7.0,1.0,103,0.3209650571016612,149
15.0,Auburn,Field,Plant Pathology,10.0,5.0,30,0.3240586916485164,24
15.0,Auburn,Field,Psychology,13.0,5.0,136,0.2983348228766683,167
15.0,Auburn,Field,Soil Science,15.0,7.0,26,0.3686154689329683,19
15.0,Auburn,Field,Special Education,18.0,6.0,21,0.6117138537642591,17
15.0,Auburn,Field,Statistics,4.0,2.0,107,0.2117571777822023,96
15.0,Auburn,Field,Systems Engineering,6.0,3.0,46,0.2551600650084006,38
15.0,Auburn,Field,Veterinary Medical Sciences,72.0,31.0,19,0.5114687905192189,29
15.0,Auburn,Domain,Applied Sciences,98.0,34.0,67,0.2750332626889719,122
15.0,Auburn,Domain,Education,53.0,19.0,65,0.351987968922302,126
15.0,Auburn,Domain,Engineering,85.0,25.0,71,0.446906420047142,112
15.0,Auburn,Domain,Humanities,13.0,6.0,159,0.2681721881152103,185
15.0,Auburn,Domain,Mathematics and Computing,51.0,17.0,91,0.3491303332076116,120
15.0,Auburn,Domain,Medicine and Health,210.0,60.0,64,0.3899481172524679,151
15.0,Auburn,Domain,Natural Sciences,125.0,52.0,100,0.3967723360664035,159
15.0,Auburn,Domain,Social Sciences,30.0,10.0,136,0.2869564656333989,209
125.0,Augusta,Academia,Academia,75.0,31.0,205,0.4240580223297942,161
125.0,Augusta,Field,Anatomy,8.0,4.0,65,0.0862074670771671,49
125.0,Augusta,Field,Cell Biology,7.0,5.0,110,0.151689794289319,88
125.0,Augusta,Field,Nursing,21.0,10.0,42,0.678085718201325,70
125.0,Augusta,Field,Pharmacology,9.0,4.0,77,0.4251481119795841,62
125.0,Augusta,Field,Physiology,7.0,3.0,94,0.4294604366985123,65
125.0,Augusta,Domain,Medicine and Health,47.0,20.0,128,0.3893472502436456,152
125.0,Augusta,Domain,Natural Sciences,31.0,14.0,173,0.3578493235506599,186
16.0,Azusa Pacific,Academia,Academia,6.0,2.0,352,0.1955588987147034,327
16.0,Azusa Pacific,Field,Nursing,3.0,1.0,198,0.4791380309435937,133
16.0,Azusa Pacific,Domain,Education,2.0,1.0,242,0.3191070397191293,136
16.0,Azusa Pacific,Domain,Medicine and Health,3.0,1.0,285,0.1460715383048595,246
17.0,Ball State,Academia,Academia,153.0,85.0,174,0.2203627618312648,311
17.0,Ball State,Field,Architecture,1.0,1.0,124,0.2353308494120798,66
17.0,Ball State,Field,Classics and Classical Languages,2.0,2.0,70,0.0686800003059943,91
17.0,Ball State,Field,Education,6.0,1.0,105,0.4743537785512685,40
17.0,Ball State,Field,Education Administration,10.0,6.0,85,0.5345634896447289,49
17.0,Ball State,Field,Educational Psychology,13.0,9.0,39,0.4992507437292832,27
17.0,Ball State,Field,English Language and Literature,20.0,16.0,80,0.1637965868728073,170
17.0,Ball State,Field,"Exercise Science, Kinesiology, Rehab, Health",22.0,8.0,67,0.4356643561651677,81
17.0,Ball State,Field,"Health, Physical Education, Recreation",11.0,1.0,33,0.2905236266930018,31
17.0,Ball State,Field,History,6.0,5.0,103,0.2424883019833527,180
17.0,Ball State,Field,Music,16.0,5.0,55,0.3239751146558365,97
17.0,Ball State,Field,Nursing,7.0,4.0,158,0.5408343255267605,116
17.0,Ball State,Field,Nutrition Sciences,4.0,3.0,99,0.1384927408562603,74
17.0,Ball State,Field,Philosophy,1.0,1.0,141,0.1755767608318761,183
17.0,Ball State,Field,Physiology,1.0,1.0,178,0.0372236628843584,106
17.0,Ball State,Field,Psychology,4.0,1.0,186,0.2358308495051759,187
17.0,Ball State,Field,Religious Studies,1.0,1.0,119,0.1352838197782004,91
17.0,Ball State,Field,Special Education,8.0,5.0,48,0.3488985610034262,38
17.0,Ball State,Field,Speech and Hearing Sciences,2.0,2.0,83,0.4914168265940581,26
17.0,Ball State,Domain,Applied Sciences,3.0,1.0,209,0.0891195334546659,197
17.0,Ball State,Domain,Education,39.0,23.0,89,0.3023280961166577,150
17.0,Ball State,Domain,Humanities,49.0,31.0,99,0.2359851240389844,198
17.0,Ball State,Domain,Medicine and Health,42.0,20.0,175,0.2651866780117115,205
17.0,Ball State,Domain,Natural Sciences,3.0,2.0,276,0.1548550168046022,282
17.0,Ball State,Domain,Social Sciences,24.0,12.0,149,0.2641009605579256,220
18.0,Barry,Academia,Academia,81.0,36.0,217,0.172657388052055,340
18.0,Barry,Field,Education,11.0,2.0,78,0.0485689451478956,75
18.0,Barry,Field,Nursing,46.0,21.0,41,0.6817304273225991,69
18.0,Barry,Field,Social Work,16.0,9.0,51,0.4329825787447454,63
18.0,Barry,Domain,Education,16.0,5.0,143,0.0631617620792974,212
18.0,Barry,Domain,Medicine and Health,63.0,30.0,137,0.3801766909312321,158
20.0,Baylor,Academia,Academia,114.0,44.0,191,0.2336710167551896,304
20.0,Baylor,Field,Accounting,1.0,1.0,106,0.2049025179100553,102
20.0,Baylor,Field,Biochemistry,3.0,1.0,162,0.2342701485373012,149
20.0,Baylor,Field,Chemistry,2.0,1.0,174,0.2267776933298408,173
20.0,Baylor,Field,Computer Engineering,1.0,1.0,189,0.2209515347308627,133
20.0,Baylor,Field,Curriculum and Instruction,7.0,3.0,108,0.3005007616311138,82
20.0,Baylor,Field,Education Administration,6.0,2.0,125,0.4482486550889895,68
20.0,Baylor,Field,Educational Psychology,5.0,2.0,82,0.3807747968027966,40
20.0,Baylor,Field,Electrical Engineering,1.0,1.0,196,0.1222660432280597,170
20.0,Baylor,Field,English Language and Literature,3.0,1.0,147,0.1739873634882763,163
20.0,Baylor,Field,"Exercise Science, Kinesiology, Rehab, Health",9.0,2.0,107,0.3283085925158766,97
20.0,Baylor,Field,"Health, Physical Education, Recreation",3.0,2.0,76,0.2136438882722541,37
20.0,Baylor,Field,Management,2.0,2.0,151,0.1538745282255993,137
20.0,Baylor,Field,Management Information Systems,2.0,2.0,102,0.2811557559817556,61
20.0,Baylor,Field,Mathematics,8.0,3.0,116,0.2954717978449524,128
20.0,Baylor,Field,Music,1.0,1.0,129,0.3398116501550423,90
20.0,Baylor,Field,Neuroscience,2.0,2.0,169,0.049299514243337,81
20.0,Baylor,Field,Nursing,2.0,1.0,205,0.3968263299915291,151
20.0,Baylor,Field,Philosophy,1.0,1.0,134,0.3077430297172819,132
20.0,Baylor,Field,Physics,5.0,1.0,127,0.3836615332783546,123
20.0,Baylor,Field,Psychology,13.0,9.0,138,0.3586552413903029,142
20.0,Baylor,Field,Religious Studies,2.0,1.0,85,0.1454680560081392,88
20.0,Baylor,Field,Social Work,2.0,1.0,135,0.1772592919136916,106
20.0,Baylor,Field,Statistics,3.0,1.0,112,0.1054111987722612,117
20.0,Baylor,Field,Theological Studies,9.0,2.0,33,0.294271100479767,25
20.0,Baylor,Domain,Applied Sciences,7.0,7.0,167,0.1194592876748718,191
20.0,Baylor,Domain,Education,15.0,5.0,138,0.2828746254178952,156
20.0,Baylor,Domain,Engineering,2.0,2.0,208,0.2694722725688883,193
20.0,Baylor,Domain,Humanities,17.0,6.0,150,0.2238905454030599,203
20.0,Baylor,Domain,Mathematics and Computing,12.0,4.0,158,0.2050345093751687,197
20.0,Baylor,Domain,Medicine and Health,26.0,8.0,203,0.2000161814923344,231
20.0,Baylor,Domain,Natural Sciences,25.0,8.0,200,0.2631885616128371,242
20.0,Baylor,Domain,Social Sciences,21.0,11.0,166,0.3367391858240826,175
19.0,Baylor College of Medicine,Academia,Academia,260.0,96.0,138,0.4796174287588654,125
19.0,Baylor College of Medicine,Field,Biochemistry,22.0,9.0,62,0.6248912782692656,38
19.0,Baylor College of Medicine,Field,Biophysics,12.0,3.0,27,0.6093987476417578,26
19.0,Baylor College of Medicine,Field,Cell Biology,29.0,9.0,28,0.3832362118938004,57
19.0,Baylor College of Medicine,Field,Immunology,28.0,9.0,22,0.0967911074787075,76
19.0,Baylor College of Medicine,Field,Microbiology,28.0,11.0,34,0.2805389582729708,84
19.0,Baylor College of Medicine,Field,Molecular Biology,32.0,11.0,26,0.396499923469736,45
19.0,Baylor College of Medicine,Field,Neuroscience,16.0,8.0,46,0.5023180254709303,36
19.0,Baylor College of Medicine,Field,Pathology,38.0,16.0,31,0.1589513661018508,80
19.0,Baylor College of Medicine,Field,Pharmacology,7.0,2.0,97,0.4256778502186152,61
19.0,Baylor College of Medicine,Field,Physiology,22.0,8.0,35,0.6196864299106525,30
19.0,Baylor College of Medicine,Domain,Medicine and Health,120.0,40.0,93,0.3659592625995867,167
19.0,Baylor College of Medicine,Domain,Natural Sciences,185.0,66.0,81,0.4573564096657186,123
505.0,Bentley,Academia,Academia,10.0,3.0,337,0.3350182160393686,229
505.0,Bentley,Field,Accounting,8.0,2.0,79,0.3236893288064729,77
505.0,Bentley,Domain,Applied Sciences,9.0,3.0,166,0.2498265009085137,137
22.0,Biola,Academia,Academia,35.0,13.0,287,0.1391637169627574,354
22.0,Biola,Field,Psychology,11.0,4.0,152,0.1474368385860102,220
22.0,Biola,Field,Theological Studies,16.0,4.0,26,0.0,41
22.0,Biola,Domain,Humanities,17.0,5.0,154,0.1232812350960167,238
22.0,Biola,Domain,Social Sciences,18.0,8.0,173,0.2034361674850353,240
377.0,Boise State,Academia,Academia,9.0,1.0,350,0.3072102358140439,257
23.0,Boston College,Academia,Academia,415.0,140.0,110,0.5671564420029721,77
23.0,Boston College,Field,Chemistry,10.0,1.0,104,0.5389126169759393,61
23.0,Boston College,Field,Classics and Classical Languages,2.0,1.0,69,0.3539043018089046,57
23.0,Boston College,Field,Computer Science,1.0,1.0,211,0.4839808628885872,59
23.0,Boston College,Field,Counselor Education,3.0,2.0,117,0.5069525260724389,29
23.0,Boston College,Field,Curriculum and Instruction,13.0,3.0,70,0.6839768321940443,28
23.0,Boston College,Field,Economics,27.0,7.0,48,0.6001947886713725,39
23.0,Boston College,Field,Education Administration,8.0,4.0,89,0.6052142802018745,39
23.0,Boston College,Field,English Language and Literature,13.0,4.0,103,0.4640675948126458,75
23.0,Boston College,Field,Finance,30.0,7.0,32,0.7208604520038092,11
23.0,Boston College,Field,Germanic Languages and Literatures,1.0,1.0,61,0.6349332116432347,20
23.0,Boston College,Field,History,13.0,7.0,74,0.5110160776848712,71
23.0,Boston College,Field,Management,18.0,5.0,69,0.575129284917939,38
23.0,Boston College,Field,Mathematics,4.0,2.0,130,0.5101886668015102,59
23.0,Boston College,Field,Nursing,48.0,25.0,33,0.8478468228046039,28
23.0,Boston College,Field,Philosophy,24.0,11.0,38,0.5543719346738736,50
23.0,Boston College,Field,Physics,6.0,1.0,117,0.5042708447523423,66
23.0,Boston College,Field,Political Science,16.0,6.0,70,0.588564486977232,51
23.0,Boston College,Field,Psychology,14.0,1.0,129,0.6072974353043071,56
23.0,Boston College,Field,Slavic Languages and Literatures,1.0,1.0,59,0.3367998066804589,33
23.0,Boston College,Field,Social Work,32.0,10.0,27,0.671710550918728,27
23.0,Boston College,Field,Sociology,11.0,5.0,73,0.5054030622342196,66
23.0,Boston College,Field,Special Education,2.0,1.0,91,0.5653897958648761,21
23.0,Boston College,Field,Theological Studies,36.0,9.0,15,0.5491913673370328,10
23.0,Boston College,Domain,Applied Sciences,63.0,15.0,83,0.5163810278872075,47
23.0,Boston College,Domain,Education,38.0,11.0,81,0.5766995003115718,62
23.0,Boston College,Domain,Engineering,3.0,2.0,204,0.4784834835635962,92
23.0,Boston College,Domain,Humanities,104.0,36.0,70,0.5209517552551821,72
23.0,Boston College,Domain,Mathematics and Computing,5.0,3.0,181,0.4832182095784837,74
23.0,Boston College,Domain,Medicine and Health,106.0,47.0,94,0.6741522389702771,41
23.0,Boston College,Domain,Natural Sciences,23.0,5.0,203,0.5052466023683687,97
23.0,Boston College,Domain,Social Sciences,78.0,21.0,89,0.6022442537218716,59
24.0,Boston University,Academia,Academia,1064.0,343.0,63,0.5959566967854691,69
24.0,Boston University,Field,Accounting,11.0,3.0,67,0.5929763911325727,43
24.0,Boston University,Field,Anatomy,26.0,8.0,5,0.4065245839241611,21
24.0,Boston University,Field,Anthropology,19.0,6.0,53,0.5359536467919223,67
24.0,Boston University,Field,Art History and Criticism,9.0,3.0,35,0.549439868217717,32
24.0,Boston University,Field,Biochemistry,36.0,16.0,35,0.5430887081322047,61
24.0,Boston University,Field,Biological Sciences,30.0,11.0,71,0.6006428535752658,44
24.0,Boston University,Field,Biomedical Engineering,21.0,6.0,36,0.7035622128168947,17
24.0,Boston University,Field,Biophysics,9.0,6.0,36,0.546945416323386,28
24.0,Boston University,Field,Biostatistics,18.0,3.0,23,0.5832393669359062,29
